male,year,studylike,Grade,univ,dream,club,studytime,sleep,free,Cram,sptime
0,2,4,4,1,1,6,56,317,189,1,197
0,2,3,3,0,1,0,69,373,326,0,137
1,3,2,1,1,1,0,0,377,137,0,197
1,2,5,5,0,1,0,0,416,583,0,480
1,2,4,2,1,0,7,17,450,60,0,120
0,3,4,4,0,2,0,0,420,711,0,334
1,2,3,5,0,1,7,39,420,94,0,77
0,2,5,4,0,2,0,0,429,669,0,711
0,3,3,2,1,1,0,30,351,754,0,549
0,2,5,3,0,2,5,0,463,377,0,377
1,3,5,4,1,0,0,60,506,1183,2,471
0,2,4,3,0,1,0,51,351,351,0,471
0,3,4,2,0,2,2,94,454,591,0,189
0,3,2,1,0,2,0,416,356,94,0,137
0,2,3,1,0,2,2,24,236,754,0,686
1,2,5,4,0,0,0,0,557,300,0,274
0,2,3,3,1,0,6,30,360,60,0,120
1,2,5,4,1,0,0,31,351,463,0,531
1,2,5,4,0,0,7,0,360,926,0,926
0,2,5,3,0,1,7,39,420,249,0,214
1,2,3,1,0,0,6,30,390,463,0,364
0,3,2,2,1,2,0,189,347,1440,0,154
1,3,4,3,1,2,0,137,429,249,0,154
0,3,3,3,1,1,5,30,411,351,0,1029
0,2,4,4,1,1,6,154,317,154,3,210
1,2,2,4,1,2,0,0,394,94,0,137
1,3,4,2,0,0,0,0,360,240,0,240
0,3,4,3,1,0,1,77,343,480,0,480
0,3,4,3,0,0,0,0,540,386,0,343
1,2,5,3,1,2,5,9,394,240,0,240
0,2,5,4,0,2,0,0,360,360,0,600
1,2,5,5,1,1,6,0,433,283,0,411
1,2,3,2,1,2,6,39,420,240,0,120
1,2,3,5,1,1,6,17,304,189,0,334
1,2,4,4,0,0,0,0,437,540,0,223
1,2,4,5,1,1,2,137,300,137,1,137
1,3,5,5,1,0,0,214,394,231,1,334
0,3,3,2,1,2,0,154,411,480,0,291
1,3,3,3,1,1,0,231,394,523,2,154
1,3,2,3,1,1,0,261,433,343,5,193
0,3,4,4,1,2,0,30,330,514,0,274
0,2,3,3,0,1,0,13,334,343,0,454
1,2,3,3,1,1,3,69,360,463,1,274
1,3,4,3,1,2,0,9,420,171,0,94
0,3,3,4,0,2,0,49,377,626,0,197
0,2,3,3,0,1,6,39,386,334,0,77
0,3,3,2,1,1,0,386,317,60,2,77
1,3,5,3,0,1,0,0,437,1097,0,514
1,2,3,3,1,0,7,39,480,334,0,253
0,3,3,3,1,1,0,154,454,463,0,77
0,2,4,2,1,0,6,9,429,343,0,274
1,2,4,4,0,1,0,0,394,309,0,266
0,2,3,2,1,1,6,56,377,77,0,66
1,2,3,4,0,0,5,6,411,279,0,386
0,3,5,4,0,1,0,0,0,0,0,463
0,2,3,3,0,1,1,0,390,926,0,549
1,2,5,5,1,2,4,154,300,231,1,214
0,2,1,5,1,1,0,94,300,154,0,360
0,3,5,5,0,1,2,334,463,231,0,471
1,2,4,4,1,1,6,47,360,266,0,480
1,3,2,2,1,2,0,240,300,60,0,60
1,2,2,4,1,1,2,137,394,137,0,144
0,3,5,3,1,1,0,17,454,754,0,549
0,2,2,1,1,0,5,99,407,154,0,137
0,3,2,2,1,2,0,351,360,60,7,120
1,3,3,3,0,1,0,0,549,266,0,69
1,3,3,4,0,2,0,0,416,711,0,137
0,3,5,5,1,1,1,0,360,300,0,720
0,3,3,3,0,1,0,0,274,626,0,669
0,2,4,3,0,2,3,19,360,69,0,137
0,3,3,2,1,1,0,197,317,171,0,94
0,3,3,2,1,1,0,60,420,309,2,94
1,2,5,5,1,1,5,0,390,356,0,240
1,3,5,5,1,0,0,107,240,514,0,497
1,3,3,2,1,1,0,171,407,463,2,274
0,2,3,2,1,2,6,107,339,231,0,377
0,2,4,5,1,0,5,30,317,231,1,429
0,3,3,3,1,1,0,111,480,309,0,300
1,2,5,2,0,1,0,17,394,249,0,214
1,2,4,5,1,1,5,39,330,231,0,197
1,3,3,2,1,2,6,94,480,300,0,193
1,2,4,4,1,1,7,60,416,154,0,99
0,2,3,2,1,0,4,30,416,291,0,274
0,2,2,2,1,1,2,180,416,197,0,219
1,3,5,5,1,0,0,369,351,137,6,120
0,2,5,5,1,2,6,103,356,94,1,197
0,2,1,1,1,1,5,39,471,334,0,334
1,3,3,1,0,2,0,0,420,300,0,420
0,3,5,4,0,2,0,0,360,189,0,274
1,3,5,5,1,0,0,343,429,60,6,120
1,3,5,5,0,2,0,0,334,626,0,420
0,2,5,3,0,1,7,0,437,429,0,351
1,2,4,3,0,1,7,77,351,429,0,351
0,1,3,5,0,0,0,0,429,274,0,214
1,2,5,5,0,0,6,9,377,454,0,309
0,2,3,2,0,1,0,39,394,600,0,231
1,3,3,4,1,1,0,411,274,77,7,0
